Date,ts_code,RSI,5upcross60,now_high_close,std_60,30_down,diff_MA60-MA90,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,dv_ratio,total_mv,alpha001,alpha005,alpha020,alpha025,alpha033,alpha039,alpha088,pct_chg
2016-11-21,000001.SZ,57.7086978844448,0.0699999999999999,-0.42,1.166,-0.66,0.32,9.24,0.5811,1.43,7.2561,6.9451,0.8899,1.6499,1.25,15865460.1022,0.8423852183650616,-0.1215752628436056,-0.0734433979576096,0.3465623253214086,0.3069690265486726,-0.6866201835698861,0.9275442477876106,0.65
2021-04-23,000001.SZ,65.33754152798053,1.32,-1.51,5.3557,0.25,4.02,23.29,0.4242,0.81,15.6237,14.8127,1.4932,2.9436,0.936,45196383.4831,0.8423852183650616,-0.9624715191577258,-0.9139699134360486,0.0514253773057574,0.5713495575221239,-1.7940289747090117,0.3097345132743362,1.35
2019-10-17,000002.SZ,58.42873702068025,0.16,-1.08,1.8504,-1.64,-0.53,27.35,0.7002,0.9,9.1528,8.471,2.0717,1.0384,3.2141,30911361.1077,0.8452453058752272,-0.5880694835198246,-0.1257411527324452,0.1637462235649547,0.3626045400238948,-1.007195613508877,0.6487455197132617,1.03
2016-04-14,000006.SZ,50.55470102285893,0.79,-0.8,5.7505,-6.03,-9.95,8.39,1.4573,0.82,27.1779,27.1779,2.5782,3.0995,1.4064,1132645.8436,0.8418214499700419,-0.1846958150998441,-0.6041893144834812,0.1781231320980275,0.5298463356973995,-0.6413727582867048,0.8812056737588653,1.08
2019-02-14,000006.SZ,65.67659895498765,1.25,-1.26,3.8168,0.32,2.11,5.64,1.251,1.4,9.4509,8.6014,1.2264,2.5728,3.2092,761397.2059,0.8418214499700419,-0.1890617228062527,-0.2741542891107174,0.269575612671847,0.3058510638297872,-0.8899189991178121,0.0833333333333333,1.08
2021-03-17,000006.SZ,66.87072726575667,1.68,-2.79,4.0872,0.4499999999999999,-2.92,5.59,2.6449,2.91,9.4194,8.7352,1.0248,2.0225,3.2021,754647.2307,0.8418214499700419,-0.3824423723935192,-0.1328730669477804,0.1237298266586969,0.0868794326241134,-1.2621381024941856,0.0283687943262411,2.76
2019-09-10,000008.SZ,66.06521318037014,0.63,0.0,2.6739,0.25,-1.73,3.7,0.764,0.91,31.6533,31.1895,1.4147,4.0114,1.3696,1028894.278,0.8579691516709511,-0.163525607971458,-0.4578816026290168,0.4589480436177036,0.3380861850443599,-1.2044520247775352,0.6007604562737643,1.09
2018-04-12,000009.SZ,53.39429102536275,0.47,-0.6799999999999999,5.398,-5.26,-5.59,6.26,0.8175,0.67,57.6514,66.1183,2.8934,2.0985,0.3195,1345489.9518,0.2414504716981132,-0.1240037350196034,-0.0997952121364074,0.3984696880517951,0.4516880093131548,-0.8808936211014382,0.4784633294528521,0.48
2019-08-01,000009.SZ,54.21497982428727,0.29,-2.48,2.5012,-1.5599999999999998,-5.29,4.77,1.1145,1.55,57.549,50.2906,2.345,1.0501,0.3494,1230285.0613,0.4071344339622642,-0.0905477983577297,-0.0874581046753018,0.2878163625662154,0.1455180442374854,-0.896586735649955,0.1746216530849825,1.92
2017-04-11,000010.SZ,65.88643109510343,0.67,-2.3800000000000003,1.6268,-1.47,-2.47,7.38,7.1789,2.69,180.9174,114.9753,2.7534,6.3199,0.0,605052.7782,0.8650416171224733,-0.6706716728382817,-0.0404744459173239,0.029673590504451,0.0431338028169014,-1.210577793437783,0.1109154929577464,4.83
