ts_code,Date,trade_type,pct_chg,pct_chg_5,pct_chg_10,pct_chg_20,pct_chg_30,RSI,5upcross60,now_high_close,std_60,30_down,diff_MA60-MA90
000001.SZ,2021-04-23,1,1.35,0.0,1.1,8.23,6.67,65.39801814838006,1.32,-1.54,5.3567,0.3,4.02
000014.SZ,2021-03-16,1,2.48,0.6,-2.53,-5.07,-6.15,59.887983949892565,0.08,-0.36,3.6973,-3.38,-5.2
000026.SZ,2021-01-21,1,0.79,0.54,-11.83,3.3,11.98,63.48681596089387,0.19,-2.91,5.4725,0.54,-10.13
000038.SZ,2021-02-24,1,1.72,4.08,-0.9,4.68,17.41,62.249555090377996,0.29,-0.4,5.3424,-4.29,-6.11
000046.SZ,2021-05-11,1,0.33999999999999997,-4.03,-7.38,-3.36,,58.92961940763196,0.13,-1.32,4.0453,-1.97,-3.19
000049.SZ,2020-11-09,1,3.05,-1.16,-1.19,-5.98,-2.21,63.2778090747295,0.52,-1.68,5.7373,0.8200000000000001,-1.09
000061.SZ,2020-12-28,1,3.3099999999999996,1.11,-9.97,-18.01,-21.75,58.595773888380634,0.04,-0.13999999999999999,2.7075,-1.0999999999999999,-4.26
000062.SZ,2021-03-17,1,5.82,-6.59,-7.75,2.71,19.38,64.43904028156734,1.8499999999999999,-1.15,3.4519,3.2800000000000002,-4.73
000063.SZ,2021-05-27,1,2.62,7.32,8.4,,,63.29197454128066,0.61,-1.29,2.4425,0.52,-4.34
000065.SZ,2020-11-19,1,0.38,-0.5,2.9,-5.17,-4.79,59.03798639394784,0.52,-0.5,2.0503,-0.13,-2.23
000068.SZ,2021-03-09,1,3.55,-4.45,-6.85,-4.11,-5.48,64.35204939064644,1.1199999999999999,-3.3099999999999996,5.7482,0.0,-3.6900000000000004
000070.SZ,2020-11-26,1,1.72,-3.26,-5.95,-10.33,-16.0,57.525517879163566,0.29,-0.9199999999999999,3.4773,-4.1000000000000005,-5.4
000070.SZ,2021-05-07,1,5.1,-1.95,-2.34,-4.68,,66.2371727925171,0.88,-2.9000000000000004,3.2143,-0.52,-6.959999999999999
000089.SZ,2021-02-24,1,1.0999999999999999,-2.16,-1.32,4.07,4.79,63.33324682561394,0.91,-2.0,3.5609,-1.0699999999999998,-1.71
000090.SZ,2021-02-25,1,3.16,-3.79,-1.67,-2.28,2.28,65.50628963719673,0.3,-3.51,4.1016,0.3,-4.97
000156.SZ,2021-03-05,1,1.16,-5.47,-4.49,-4.81,-4.49,58.70383235212952,0.16999999999999998,-0.22,3.169,-1.51,-4.42
000415.SZ,2021-03-16,1,1.31,-2.59,-1.72,-3.88,-11.21,58.93237614556607,0.22,-0.43,5.8832,-2.52,-6.12
000419.SZ,2020-11-18,1,0.62,-1.45,1.45,-3.93,-4.13,60.95505922862768,0.33999999999999997,-0.41000000000000003,2.7869,0.41000000000000003,-1.7399999999999998
000426.SZ,2020-11-09,1,4.45,1.0,2.88,-6.02,2.38,63.764446968851274,0.77,-0.9900000000000001,4.2571,2.0500000000000003,-6.04
000501.SZ,2021-03-08,1,0.9400000000000001,0.5,3.18,5.27,1.17,60.73992439392849,0.44999999999999996,-1.32,4.6766,-1.24,-5.489999999999999
